365: HunterMahan 72.335089; 90% interval: (70.848295, 76.156273)
366: HiroyukiFujita 72.379101; 90% interval: (70.345290, 74.654028)
367: CarlAlexander 72.406874; 90% interval: (70.969879, 75.294200)
368: RobertDamron 72.414157; 90% interval: (70.595661, 77.518455)
369: BrianGay 72.417493; 90% interval: (71.299331, 77.626266)
370: CoreyPavin 72.426914; 90% interval: (69.318797, 73.951264)
371: NolanHenke 72.432257; 90% interval: (70.997548, 74.742098)
372: DavidSchnider 72.463025; 90% interval: (70.534578, 75.151684)
373: SamRandolph 72.463042; 90% interval: (71.329656, 74.754288)
374: PeterJacobsen 72.470283; 90% interval: (68.605964, 76.381718)
375: JerryHaas 72.477747; 90% interval: (69.794450, 75.936450)
376: ChezReavie 72.478050; 90% interval: (70.236119, 76.550167)
377: KenichiKuboya 72.482940; 90% interval: (69.925664, 76.335101)
378: KenGreen 72.494825; 90% interval: (70.908979, 74.369532)
379: ThomasBjorn 72.505171; 90% interval: (62.360591, 74.412286)
380: CliffKresge 72.510446; 90% interval: (70.058587, 74.790008)
381: MikeHarmon 72.511145; 90% interval: (69.781033, 80.498486)
382: MarkBrooks 72.547116; 90% interval: (69.365271, 74.711841)
383: KevinGiancola 72.557505; 90% interval: (71.213734, 73.670810)
384: ArnoldPalmer 72.579911; 90% interval: (70.913185, 74.869804)
385: JimmyWalker 72.584613; 90% interval: (70.851144, 75.115768)
386: KennyPerry 72.599108; 90% interval: (69.942226, 74.873738)
387: DavidHearn 72.606216; 90% interval: (71.387732, 74.729109)
388: TimHerron 72.611861; 90% interval: (70.164385, 79.197562)
389: JustinRose 72.617913; 90% interval: (70.684434, 74.410205)
390: VanceVeazey 72.629149; 90% interval: (70.414177, 76.278197)
391: DeanePappas 72.657369; 90% interval: (70.614490, 76.110144)
392: CraigPerks 72.657927; 90% interval: (68.744622, 74.568009)
393: RickyTouma 72.724942; 90% interval: (71.013472, 75.230930)
394: BillGlasson 72.728473; 90% interval: (70.795424, 77.307430)
395: DirkAyers 72.744933; 90% interval: (71.279491, 74.352792)
396: TimTims 72.747181; 90% interval: (70.631503, 75.170998)
397: BoydSummerhays 72.791572; 90% interval: (69.694077, 75.223369)
398: DanOlsen 72.798555; 90% interval: (69.622502, 75.725856)
399: StevePate 72.825125; 90% interval: (71.513429, 75.989857)
400: MattHendrix 72.850497; 90% interval: (71.101113, 76.359841)
401: StephenLeaney 72.855336; 90% interval: (69.351014, 75.218322)
402: MacO'Grady 72.928658; 90% interval: (69.600566, 73.855542)
403: BrettMelton 72.939048; 90% interval: (69.927281, 74.203602)
404: JohnSenden 72.959689; 90% interval: (70.229808, 75.708053)
405: AdamScott 72.971083; 90% interval: (71.197997, 78.263211)
406: Lian-WeiZhang 72.973466; 90% interval: (69.719371, 75.353127)
