273: ToshiIzawa 71.690004; 90% interval: (64.341271, 79.890358)
274: ArronOberholser 71.715959; 90% interval: (67.114573, 84.848402)
275: TonyRohlik 71.739872; 90% interval: (62.568415, 82.065623)
276: DonPooley 71.775207; 90% interval: (64.616799, 80.869827)
277: GeoffreyDean 71.775820; 90% interval: (65.358407, 77.351660)
278: DeanA.Wilson 71.785789; 90% interval: (63.082236, 77.199334)
279: BenCrane 71.823380; 90% interval: (64.039528, 85.791740)
280: ScottHoch 71.825283; 90% interval: (64.730924, 80.230413)
281: SergioGarcia 72.080499; 90% interval: (62.563464, 83.193641)
282: BubbaWatson 72.168378; 90% interval: (64.812938, 83.160578)
283: RichardZokol 72.228296; 90% interval: (65.499669, 76.751480)
284: ChipSullivan 72.304105; 90% interval: (65.748771, 78.697244)
285: CameronBeckman 72.317893; 90% interval: (60.623577, 84.016044)
286: MikeSullivan 72.375143; 90% interval: (61.279240, 80.215670)
287: JCAnderson 72.383755; 90% interval: (65.657949, 81.631148)
288: AkioSadakata 72.385386; 90% interval: (67.262084, 78.329724)
289: DavidGossett 72.407786; 90% interval: (65.012321, 81.588360)
290: LeeRinker 72.408021; 90% interval: (64.949676, 81.251437)
291: DeanWilson 72.413856; 90% interval: (63.436443, 78.664558)
292: WillieWood 72.439537; 90% interval: (63.132970, 84.556485)
293: SeanMurphy 72.481138; 90% interval: (60.682355, 81.084083)
294: MarcBourgeois 72.557318; 90% interval: (60.933582, 85.310453)
295: ChrisRiley 72.572689; 90% interval: (50.746297, 81.013953)
296: JesperParnevik 72.605462; 90% interval: (64.917992, 77.418706)
297: ScottHend 72.606483; 90% interval: (64.064140, 81.358037)
298: DerekSanders 72.677151; 90% interval: (66.558301, 81.403902)
299: J.J.Henry 72.686582; 90% interval: (64.957718, 82.428736)
300: TomGleeton 72.735714; 90% interval: (65.836863, 81.068088)
301: CaseyMartin 72.742729; 90% interval: (62.115470, 79.232912)
302: MarcGirouard 72.780523; 90% interval: (66.795891, 78.838317)
303: BradleyHeaven 72.843363; 90% interval: (41.994403, 77.991709)
304: CraigBarlow 72.916167; 90% interval: (67.950580, 83.261680)
305: KellyGibson 72.944032; 90% interval: (59.346194, 87.953638)
306: ShawnKelly 72.946063; 90% interval: (63.074152, 84.974018)
307: BobLohr 72.973989; 90% interval: (64.116544, 87.248571)
308: MattLoving 72.980918; 90% interval: (62.897896, 87.507868)
309: NickFlanagan 72.986375; 90% interval: (57.860987, 82.018703)
310: AaronBarber 73.093290; 90% interval: (63.233072, 86.391934)
311: JohnSenden 73.148406; 90% interval: (66.646612, 80.295419)
312: StephenWoodard 73.179274; 90% interval: (60.128374, 81.330687)
313: MikeSposa 73.201528; 90% interval: (66.823705, 79.682643)
